Month,Date,Account,Subcategory,Category,Amount,Credit,Debit,Is Income,Is Expense
2025-01,2025-01-01,Uber Eats,Transfer between accounts,Transfers (Internal),0.00,0.00,0.00,False,False
2025-01,2025-01-01,Walmart Spark,Transfer between accounts,Transfers (Internal),0.00,0.00,0.00,False,False
2025-01,2025-01-01,FSA Dependent UPMC,Transfer between accounts,Transfers (Internal),0.00,0.00,0.00,False,False
2025-01,2025-01-01,Capital One Union + Mastercard,Transfer between accounts,Transfers (Internal),0.00,0.00,0.00,False,False
2025-01,2025-01-01,Capital One QS Mastercard,Transfer between accounts,Transfers (Internal),0.00,0.00,,False,False
2025-01,2025-01-01,NFCU Checking,Entertainment (Dining),Entertainment (Travel/Attractions/Dining),-140.00,,140.00,False,True
2025-01,2025-01-02,NFCU Cash Rewards Visa,Transportation (Fuel),Transportation Expenses,-31.75,,31.75,False,True
2025-01,2025-01-02,NFCU Cash Rewards Visa,Personal (Nicotine),Personal/Lifestyle (Discretionary),-59.34,,59.34,False,True
2025-01,2025-01-02,NFCU Checking,Transfer between accounts,Transfers (Internal),-1317.40,,1317.40,False,False
2025-01,2025-01-02,NFCU Cash Rewards Visa,Credit Card Payments,Transfers (Internal),1317.40,1317.40,,False,False
2025-01,2025-01-03,NFCU Cash Rewards Visa,Transportation (Vehicle Maintenance/Repair),Transportation Expenses,-37.40,,37.40,False,True
2025-01,2025-01-03,BofA Checking,Salary - UPMC,"Income (Salary, Interest Earned/Tax Refunds)",250.00,250.00,,True,False
2025-01,2025-01-06,NFCU Checking,Daycare,Daycare,-100.00,,100.00,False,True
2025-01,2025-01-06,FSA Dependent,Transfer between accounts,Transfers (Internal),-208.33,,208.33,False,False
2025-01,2025-01-06,NFCU Checking,Transfer between accounts,Transfers (Internal),208.33,208.33,,False,False
2025-01,2025-01-06,NFCU Cash Rewards Visa,Housing (Home Maintenance/Repair),Housing (Repairs/Mortgage/Taxes),-4.00,,4.00,False,True
2025-01,2025-01-06,NFCU Cash Rewards Visa,Utilities (Natural Gas),Utilities,-124.75,,124.75,False,True
2025-01,2025-01-06,NFCU Cash Rewards Visa,Transportation (Satellite Radio),Transportation Expenses,-18.16,,18.16,False,True
